"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","35","35","1","28.366037","0","35"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","23","23","1","18.610611","0","23"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","35","35","1","29.240101","0","35"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","23","23","1","18.257145","0","23"
"/Interchange/gltf/M_Transmission.M_Transmission","0","96","96","2","998.100708","0","96"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","23","23","1","15.439684","0","23"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","1.430825","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","1.423886","0","5"
"/Game/Characters/Mannequin_UE4/Materials/M_MannequinUE4_Body.M_MannequinUE4_Body","0","108","116","2","105.204666","0","116"
"/Interchange/gltf/M_Unlit.M_Unlit","0","118","128","6","96.177734","0","128"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","45","45","1","29.576372","0","45"
"/Game/StarterContent/Props/Materials/M_Rock.M_Rock","0","23","23","1","22.351961","0","23"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","58","62","1","76.793198","0","62"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","84","88","1","102.264687","0","88"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","0","23","23","1","24.607340","0","23"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","0","23","23","1","22.894747","0","23"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","0","23","23","1","22.536562","0","23"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","14","14","1","8.909103","0","14"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","14","14","1","0.000000","0","14"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","0","23","23","1","22.586138","0","23"
"/Game/StarterContent/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","0","23","23","1","20.783091","0","23"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","0","8","8","2","5.223121","0","8"
"/Game/FirstPerson/Blueprints/Weapon/FPWeapon/Materials/M_FPGun.M_FPGun","0","54","58","1","52.225342","0","58"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","29","31","1","29.528563","0","31"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","23","23","1","22.616680","0","23"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","35","35","1","132.256302","0","35"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","23","23","1","18.695904","0","23"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","11","11","1","7.010431","0","11"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","56","56","1","48.223255","0","56"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","0","23","23","1","21.658346","0","23"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","22","22","1","21.253162","0","22"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","4","4","1","3.667321","0","4"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","0","35","35","1","11.617248","0","35"
"/Engine/MapTemplates/Sky/M_Procedural_Sky_MASTER02.M_Procedural_Sky_MASTER02","0","46","46","2","22.157715","0","46"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","12","12","1","8.701499","0","12"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","100","100","1","633.547119","0","100"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","0","23","23","1","15.565547","0","23"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","0","23","23","1","19.987329","0","23"
